Name	Title	Type	Description	Is Searchable
agricultureStructureIndicator	Agriculture Structure Indicator	boolean	Yes (Y) or No (N) indicator of whether or not a building is reported as being an agricultural structure in the policy application. Yes is indicated with either a 'true' or '1'. No is indicated with either a 'false' or '0'	no
baseFloodElevation	Base Flood Elevation	number	"Base Flood Elevation (BFE) is the elevation, in feet, at which there is a 1% chance per year of flooding in feet from the elevation certificate"	yes
basementEnclosureCrawlspace	Basement Enclosure Crawlspace Type Code	number	Basement is defined for purposes of the NFIP as any level or story which has its floor subgrade on all sides. Basement structure value are as follow: 0 - None; 1 - Finished Basement/Enclosure; 2 - Unfinished Basement/Enclosure; 3 - Crawlspace; 4 - Subgrade Crawlspace;	yes
cancellationDateOfFloodPolicy	Cancellation Date of Flood Policy	date	"The cancellation date of the flood policy (if any), thereby goes out of force. When time is not specified in the field, it will default to T00:00:00.000Z"	yes
censusTract	Census Tract	string	US Census Bureau defined census Tracts; statistical subdivisions of a county or equivalent entity that are updated prior to each decennial census. The NFIP relies on our geocoding service to assign census tract code	yes
condominiumIndicator	Condominium Indicator	string	"This is an indicator of what type of condominium property is being insured. Not a condominium (N). An individual condominium unit owned by a unit owner, or by a condominium association (U). The entire condominium building owned by the association insuring building common elements as well as building elements (additions and alterations) within all units in the building, not eligible under Condominium Master Policy (A). The entire residential condominium building owned by the association eligible under Condominium Master Policy, insuring the entire condominium building common elements as well as building elements (additions and alterations) within all units in the building, (H) for High-Rise or (L) for Low-Rise (T) for Townhouses"	yes
construction	Construction Indicator	boolean	Is this building under construction? (Y/N). Yes is indicated with either a 'true' or '1'. No is indicated with either a 'false' or '0'	no
countyCode	County Code	string	"FIPS code uniquely identifying the primary county (e.g., 011 represents Broward County) associated with the project. Note, the County Code field may not reflect the individual county the property is located as projects can be associated with more than one county"	yes
crsClassCode	CRS Classification Code	number	"The Community Rating System (CRS) Classification Credit Percentage used to rate the policy. The insurance premium credit is based on whether a property is in or out of the Special Flood Hazard Area (SFHA) as shown on the community's Flood Insurance Rate Map. The premium credit for properties in the SFHA increases according to a community's CRS class: 1 - SFHA 45% ** Non SFHA 10% **; 2 - SFHA 40% ** Non SFHA 10% **; 3 - SFHA 35% ** Non SFHA 10% **; 4 - SFHA 30% ** Non SFHA 10% **; 5 - SFHA 25% ** Non SFHA 10% **; 6 - SFHA 20% ** Non SFHA10% **; 7 - SFHA 15% ** Non SFHA 5% **; 8 - SFHA 10% ** Non SFHA 5% **; 9 - SFHA 5% Non SFHA 5%; 10 - SFHA 0% Non SFHA 0%; *For the purpose of determining CRS Premium Discounts, all AR and A99 zones are treated as non-SFHAs. **These percentages are subject to change. Always refer to the Flood Insurance Manual for the latest information"	yes
deductibleAmountInBuildingCoverage	Deductible Amount in Building Coverage	number	"The total deductible amount in dollars for buildings, both main and appurtenant, that can be applied against the loss. Standard Deductibles: 0 - $500; 1 - $1,000; 2 - $2,000; 3 - $3,000; 4 - $4,000; 5 - $5,000; 9 - $750; A - $10,000; B - $15,000; C - $20,000; D - $25,000; E - $50,000; F - $1,250; G - $1,500; H : $200 - Used only in Group Flood Insurance Policies"	yes
deductibleAmountInContentsCoverage	Deductible Amount in Contents Coverage	number	"The total deductible amount in dollars for contents in both main and apartment structures that can be applied against the loss. Standard Deductibles: 0 - $500; 1 - $1,000; 2 - $2,000; 3 - $3,000; 4 - $4,000; 5 - $5,000; 9 - $750; A - $10,000; B - $15,000; C - $20,000; D - $25,000; E - $50,000; F - $1,250; G - $1,500; H: $200 - Used only in Group Flood Insurance Policies"	yes
elevationBuildingIndicator	Elevated Building Indicator	boolean	"Yes (Y) or No (N) indicator of whether or not a building meets the NFIP definition of an elevated building. Yes is indicated with either a 'true' or '1'. No is indicated with either a 'false' or '0'. An elevated building is a no-basement building that was constructed so as to meet the following criteria: 1. The top of the elevated floor (all A zones) or the bottom of the lowest horizontal structural member of the lowest floor (all V zones) is above ground level; 2. The building is adequately anchored; 3. The method of elevation is pilings, columns (posts and piers), shear walls (not in V zones), or solid foundation perimeter walls (not in V zones);"	yes
